uniqueID,area_km2,NDVI2012_MEAN,NDVI2012_STD,NDVI2012_RANGE,SL_60_MEAN,SL_60_STD,SL_60_RANGE,SP_1000_MEAN,SP_240_MEAN,Alpine_Non-Carbonate_Barrens,Alpine_Non-Carbonate_Dryas_Dwarf_Shrub,Lowland_Low_Birch-Willow_Shrub,Lowland_Water,Lowland_Wet_Sedge_Tundra,Upland_Birch-Aspen-Spruce_Forest,Upland_Dryas_Dwarf_Shrub_Tundra,Upland_Low_Birch-Willow_Shrub_Tundra,Upland_Moist_Sedge_Shrub,Upland_Shrubby_Tussock_Tundra,Cloud_Ice_Snow,Riverine_Water_Shrub_Wet_Sedge_Barrens
OKS27,23.089225,4847.651791,1453.829479,9465,2.782774091,2.121131637,15.30698395,56.26838796,-0.056084598,0,0.124654279,0.171399634,8.753067664,4.164232013,0,0,11.78762027,18.80721437,56.19181177,0,0
OKS27,23.089225,4847.651791,1453.829479,9465,2.782774091,2.121131637,15.30698395,56.26838796,-0.056084598,0,0.124654279,0.171399634,8.753067664,4.164232013,0,0,11.78762027,18.80721437,56.19181177,0,0
KUP4.2,22.767525,4328.94618,953.6966658,6943,10.32374856,8.445062337,44.66094609,151.6437143,0.186442227,0.549928786,12.29624941,0.110777022,4.652634911,4.949359076,0,0,11.82149074,29.53394524,30.04431081,6.041304004,0
TC11.2,21.518425,1106.331604,1446.321093,8796,28.03271318,8.204774838,53.64094508,156.762523,-0.346025446,41.07991001,52.88309308,0,0.304141322,0.258311807,0.649945838,0,1.537371886,0.816598617,0.374968753,2.095658695,0
TC6.1,19.4331,1030.204872,1400.865087,8796,27.85515962,8.05590543,52.78953886,175.6458873,-0.275592267,43.22976779,50.82406168,0,0.337011218,0.240062786,0.549374452,0,1.43114353,0.835603158,0.309311666,2.243663727,0
KUP16.3,19.1894,5248.040244,622.470211,5981,3.800452262,2.033616326,20.28829775,-9.623053328,-0.071325457,0,1.078344039,2.212949505,0.126588213,3.286605092,0,0,22.30296779,8.743963618,62.24858174,0,0
TC5.1,18.65385,978.8609275,1377.053767,8796,27.89764828,7.982884701,52.78953886,188.7974212,-0.164097172,44.69107332,49.41866052,0,0.350725473,0.235418468,0.485250312,0,1.398097434,0.816757951,0.283463054,2.320553474,0
TC5.2,17.547575,987.0221538,1403.78614,8796,27.76703992,8.015813074,52.78953886,190.6360723,-0.225372746,45.81842347,47.99100296,0,0.373172477,0.245373684,0.506083223,0,1.472242102,0.838360086,0.296493201,2.458848788,0
KUP17.3,17.502525,5403.85257,517.7395779,8026,2.979337371,1.78161022,13.91650391,8.160605048,0.124681828,0,0,2.320328542,0.569815195,2.577002053,0,0,20.14887064,14.28131417,60.1026694,0,0
KUP6.1,17.180425,4938.866405,1310.254438,14394,11.38638089,7.358062139,45.48372269,96.95434944,0.081744823,0.204488255,22.25251678,0.256921141,0.870385906,1.095847315,0,0,34.03418624,13.95239094,22.31019295,5.02307047,0
